run,metric,tokens,value
h100,train,681496174,3.054051
h100,train,685649302,3.042307
h100,train,689811305,3.057305
h100,train,695000339,3.031241
h100,train,700191954,3.035877
h100,train,704350238,3.041570
h100,train,708500513,3.053849
h100,train,712656060,3.040073
h100,train,716808767,3.042813
h100,train,722008981,3.017942
h100,train,727206536,3.031764
h100,train,731354516,3.030625
h100,train,735505481,3.024798
h100,train,739659801,3.017181
h100,train,743812001,3.018692
h100,train,747959313,2.994272
h100,train,752115836,3.004703
h100,train,757313299,3.015074
h100,train,762498583,3.025642
h100,train,766653184,3.018676
h100,train,770807316,3.027842
h100,train,775996983,3.006834
h100,train,781185404,3.001973
h100,train,785339968,2.977948
h100,train,789493883,2.990368
h100,train,793646508,2.977747
h100,train,797797493,2.988783
h100,train,802983777,2.984477
h100,train,808181576,2.991702
h100,train,812344286,2.996476
h100,train,816502297,3.001705
h100,train,820658814,2.995948
h100,train,824813448,3.018022
h100,train,828971903,2.997423
h100,train,833127422,3.001487
h100,train,838308848,2.974748
h100,train,843503129,2.984577
h100,train,847661663,2.962240
h100,train,851815242,2.979575
h100,train,857013798,2.975781
h100,train,862198652,2.975980
h100,train,866346211,2.967555
h100,train,870499151,2.979166
h100,train,874650902,2.966186
h100,train,878800440,2.969340
h100,train,883995899,2.960589
h100,train,889182500,2.952143
h100,train,893346179,2.948029
h100,train,897501935,2.961462
h100,train,902694466,2.966625
h100,train,907878506,2.971571
h100,train,912034934,2.981162
h100,train,916188991,2.988899
h100,train,920350641,2.974574
h100,train,924506504,2.975189
h100,train,928659479,2.971777
h100,train,933854189,2.968591
h100,train,939042070,2.969522
h100,train,943198010,2.961057
h100,train,947359599,2.961237
h100,train,951519172,2.957801
h100,train,955670594,2.952997
h100,train,959831618,2.958141
h100,train,965024858,2.943296
h100,train,970221487,2.956738
h100,train,974374965,2.943269
h100,train,978530936,2.939922
h100,train,982686082,2.929588
h100,train,987883789,2.939301
h100,train,993071041,2.930095
h100,train,997231643,2.934371
h100,train,1001390741,2.927463
h100,train,1005546284,2.931033
h100,train,1010736486,2.927990
h100,train,1015923360,2.932545
h100,train,1020075035,2.920681
h100,train,1024229313,2.924973
h100,train,1028388751,2.929718
h100,train,1032531025,2.934175
h100,train,1036677507,2.929650
h100,train,1040829487,2.929404
h100,eval,19731487,6.834933
h100,eval,37390033,6.241282
h100,eval,64393399,5.593608
h100,eval,81010832,5.119905
h100,eval,99705680,4.762089
h100,eval,126701734,4.476488
h100,eval,143319538,4.262064
h100,eval,162029321,4.111338
h100,eval,189029703,3.990553
h100,eval,205662754,3.881332
h100,eval,232714201,3.788302
h100,eval,251403928,3.704941
h100,eval,268020133,3.627020
h100,eval,295027163,3.554817
h100,eval,313735053,3.490249
h100,eval,330360519,3.430094
h100,eval,357382775,3.379683
h100,eval,375055938,3.339497
h100,eval,392710928,3.298752
h100,eval,419721294,3.266877
h100,eval,436353746,3.237016
h100,eval,454025499,3.208752
h100,eval,479995303,3.185913
h100,eval,498711246,3.165144
h100,eval,515334512,3.145948
h100,eval,542326880,3.129712
h100,eval,561027513,3.114115
h100,eval,579733089,3.099024
h100,eval,606729988,3.086001
h100,eval,623344995,3.072404
h100,eval,642027344,3.059048
h100,eval,669037270,3.047993
h100,eval,685649302,3.036058
h100,eval,704350238,3.029992
h100,eval,731354516,3.021686
h100,eval,747959313,3.014004
h100,eval,766653184,3.005856
h100,eval,793646508,2.997312
h100,eval,812344286,2.991289
h100,eval,828971903,2.983626
h100,eval,857013798,2.977931
h100,eval,874650902,2.976308
h100,eval,893346179,2.968273
h100,eval,920350641,2.963251
h100,eval,939042070,2.956279
h100,eval,955670594,2.950363
h100,eval,974374965,2.946208
h100,eval,1001390741,2.942696
h100,eval,1020075035,2.938567
h100,eval,1036677507,2.936260
h20,train,3114046,8.915091
h20,train,6230351,8.911490
h20,train,10387704,8.062371
h20,train,14541011,7.655678
h20,train,17655266,7.353131
h20,train,20778263,7.164224
h20,train,24925891,6.860565
h20,train,29081692,6.672014
h20,train,33238080,6.372083
h20,train,37387867,6.164516
h20,train,41544979,5.904109
h20,train,45701007,5.737747
h20,train,49855335,5.543218
h20,train,54006353,5.410772
h20,train,58161056,5.254616
h20,train,62314746,5.151134
h20,train,65432155,5.037408
h20,train,69581691,4.954650
h20,train,74780357,4.821656
h20,train,78933751,4.739114
h20,train,82048244,4.639621
h20,train,85165566,4.581204
h20,train,89314261,4.489661
h20,train,93475888,4.436565
h20,train,97633667,4.359309
h20,train,101783297,4.309348
h20,train,105928925,4.234670
h20,train,110089894,4.170719
h20,train,114240069,4.126031
h20,train,118393801,4.080322
h20,train,122548200,4.023687
h20,train,126698239,3.985012
h20,train,130856710,3.943801
h20,train,135009785,3.920433
h20,train,139158343,3.890620
h20,train,143317224,3.867298
h20,train,147477730,3.822679
h20,train,151636183,3.797806
h20,train,154756961,3.761564
h20,train,158912344,3.739464
h20,train,163069036,3.713929
h20,train,166188481,3.694000
h20,train,170336749,3.650806
h20,train,174486231,3.618967
h20,train,178637307,3.586096
h20,train,182794725,3.575573
h20,train,186953597,3.540729
h20,train,191115274,3.521980
h20,train,195268530,3.502424
h20,train,199425666,3.491769
h20,train,203581422,3.459524
h20,train,207744053,3.439214
