series,metric,tokens,value
baseline,train_loss,241555048,3.447413
baseline,train_loss,242591765,3.465400
baseline,train_loss,243628482,3.430562
baseline,train_loss,244665199,3.396628
baseline,train_loss,245701916,3.403073
baseline,train_loss,246738633,3.464597
baseline,train_loss,247775349,3.408141
baseline,train_loss,248812066,3.446776
baseline,train_loss,249848783,3.401915
baseline,train_loss,250885500,3.370805
baseline,train_loss,251922217,3.424344
baseline,train_loss,252958934,3.456782
baseline,train_loss,253995651,3.424129
baseline,train_loss,255032368,3.399118
baseline,train_loss,256069085,3.427139
baseline,train_loss,257105802,3.433070
baseline,train_loss,258142519,3.409116
baseline,train_loss,259179236,3.395157
baseline,train_loss,260215953,3.430865
baseline,train_loss,261252670,3.425927
baseline,train_loss,262289387,3.403609
baseline,train_loss,263326104,3.397829
baseline,train_loss,264362821,3.421640
baseline,train_loss,265399538,3.419994
baseline,train_loss,266436254,3.436846
baseline,train_loss,267472971,3.451756
baseline,train_loss,268509688,3.416210
baseline,train_loss,269546405,3.375980
baseline,train_loss,270583122,3.435417
baseline,train_loss,271619839,3.358710
baseline,train_loss,272656556,3.389619
baseline,train_loss,273693273,3.422673
baseline,train_loss,274729990,3.344827
baseline,train_loss,275766707,3.445823
baseline,train_loss,276803424,3.442312
baseline,train_loss,277840141,3.388230
baseline,train_loss,278876858,3.365201
baseline,train_loss,279913575,3.348358
baseline,train_loss,280950292,3.365421
baseline,train_loss,281987009,3.376429
baseline,train_loss,283023726,3.342451
baseline,train_loss,284060443,3.374779
baseline,train_loss,285097159,3.354666
baseline,train_loss,286133876,3.338889
baseline,train_loss,287170593,3.349092
baseline,train_loss,288207310,3.366792
baseline,train_loss,289244027,3.386818
baseline,train_loss,290280744,3.397204
baseline,train_loss,291317461,3.338929
baseline,train_loss,292354178,3.358664
baseline,train_loss,293390895,3.352125
baseline,train_loss,294427612,3.376780
baseline,train_loss,295464329,3.357423
baseline,train_loss,296501046,3.348587
baseline,train_loss,297537763,3.346799
baseline,train_loss,298574480,3.370939
baseline,train_loss,299611197,3.337999
baseline,train_loss,300647914,3.350885
baseline,train_loss,301684631,3.364218
baseline,train_loss,302721347,3.350073
baseline,train_loss,303758064,3.324199
baseline,train_loss,304794781,3.354775
baseline,train_loss,305831498,3.353489
baseline,train_loss,306868215,3.339517
baseline,train_loss,307904932,3.297142
baseline,train_loss,308941649,3.284147
baseline,train_loss,309978366,3.327014
baseline,train_loss,311015083,3.313048
baseline,train_loss,312051800,3.324612
baseline,train_loss,313088517,3.313184
baseline,train_loss,314125234,3.281895
baseline,train_loss,315161951,3.320071
baseline,train_loss,316198668,3.327375
baseline,train_loss,317235385,3.350398
baseline,train_loss,318272102,3.315984
baseline,train_loss,319308819,3.287297
baseline,train_loss,320345536,3.302301
baseline,train_loss,321382252,3.287672
baseline,train_loss,322418969,3.283931
baseline,train_loss,323455686,3.331448
baseline,train_loss,324492403,3.327297
baseline,train_loss,325529120,3.319162
baseline,train_loss,326565837,3.298541
baseline,train_loss,327602554,3.288371
baseline,train_loss,328639271,3.324368
baseline,train_loss,329675988,3.261511
baseline,train_loss,330712705,3.302166
baseline,train_loss,331749422,3.312234
baseline,train_loss,332786139,3.278127
baseline,train_loss,333822856,3.287032
baseline,train_loss,334859573,3.278792
baseline,train_loss,335896290,3.273300
baseline,train_loss,336933007,3.284203
baseline,train_loss,337969724,3.327540
baseline,train_loss,339006441,3.289374
baseline,train_loss,340043157,3.244128
baseline,train_loss,341079874,3.243934
baseline,train_loss,342116591,3.301203
baseline,train_loss,343153308,3.321198
baseline,train_loss,344190025,3.250356
