series,metric,mtokens,value
baseline,train_loss,1998.3803,2.856910
baseline,eval_loss,41.5036,6.829100
baseline,perplexity,41.5036,924.358515
baseline,eval_loss,83.0073,5.808470
baseline,perplexity,83.0073,333.109079
baseline,eval_loss,124.5109,5.199080
baseline,perplexity,124.5109,181.105548
baseline,eval_loss,166.0145,4.832580
baseline,perplexity,166.0145,125.534422
baseline,eval_loss,207.5181,4.487120
baseline,perplexity,207.5181,88.865145
baseline,eval_loss,249.0218,4.259150
baseline,perplexity,249.0218,70.749821
baseline,eval_loss,290.5254,4.089310
baseline,perplexity,290.5254,59.698685
baseline,eval_loss,332.0290,3.966450
baseline,perplexity,332.0290,52.796769
baseline,eval_loss,373.5327,3.858580
baseline,perplexity,373.5327,47.397998
baseline,eval_loss,415.0363,3.719530
baseline,perplexity,415.0363,41.245004
baseline,eval_loss,456.5399,3.641570
baseline,perplexity,456.5399,38.151688
baseline,eval_loss,498.0435,3.559340
baseline,perplexity,498.0435,35.139997
baseline,eval_loss,539.5472,3.490520
baseline,perplexity,539.5472,32.803001
baseline,eval_loss,581.0508,3.424480
baseline,perplexity,581.0508,30.706673
baseline,eval_loss,622.5544,3.351620
baseline,perplexity,622.5544,28.548945
baseline,eval_loss,664.0580,3.313330
baseline,perplexity,664.0580,27.476470
baseline,eval_loss,705.5617,3.273120
baseline,perplexity,705.5617,26.393559
baseline,eval_loss,747.0653,3.241670
baseline,perplexity,747.0653,25.576399
baseline,eval_loss,788.5689,3.205580
baseline,perplexity,788.5689,24.669804
baseline,eval_loss,830.0726,3.170000
baseline,perplexity,830.0726,23.807484
baseline,eval_loss,871.5762,3.147620
baseline,perplexity,871.5762,23.280591
baseline,eval_loss,913.0798,3.123200
baseline,perplexity,913.0798,22.718964
baseline,eval_loss,954.5834,3.105830
baseline,perplexity,954.5834,22.327743
baseline,eval_loss,996.0871,3.071850
baseline,perplexity,996.0871,21.581792
baseline,eval_loss,1037.5907,3.070390
baseline,perplexity,1037.5907,21.550306
baseline,eval_loss,1079.0943,3.067810
baseline,perplexity,1079.0943,21.494778
baseline,eval_loss,1120.5980,3.052630
baseline,perplexity,1120.5980,21.170951
baseline,eval_loss,1162.1016,3.041310
baseline,perplexity,1162.1016,20.932647
baseline,eval_loss,1203.6052,3.016880
baseline,perplexity,1203.6052,20.427458
baseline,eval_loss,1245.1088,3.012910
baseline,perplexity,1245.1088,20.346522
baseline,eval_loss,1286.6125,3.005610
baseline,perplexity,1286.6125,20.198533
baseline,eval_loss,1328.1161,2.995660
baseline,perplexity,1328.1161,19.998555
baseline,eval_loss,1369.6197,2.988580
baseline,perplexity,1369.6197,19.857465
baseline,eval_loss,1411.1233,2.972790
baseline,perplexity,1411.1233,19.546378
baseline,eval_loss,1452.6270,2.965430
baseline,perplexity,1452.6270,19.403045
baseline,eval_loss,1494.1306,2.961100
baseline,perplexity,1494.1306,19.319211
baseline,eval_loss,1535.6342,2.954210
baseline,perplexity,1535.6342,19.186559
baseline,eval_loss,1577.1379,2.951660
baseline,perplexity,1577.1379,19.137696
baseline,eval_loss,1618.6415,2.934330
baseline,perplexity,1618.6415,18.808897
baseline,eval_loss,1660.1451,2.935480
baseline,perplexity,1660.1451,18.830540
baseline,eval_loss,1701.6487,2.930250
baseline,perplexity,1701.6487,18.732313
baseline,eval_loss,1743.1524,2.923050
baseline,perplexity,1743.1524,18.597925
baseline,eval_loss,1784.6560,2.895630
baseline,perplexity,1784.6560,18.094898
baseline,eval_loss,1826.1596,2.896330
baseline,perplexity,1826.1596,18.107568
baseline,eval_loss,1867.6633,2.890000
baseline,perplexity,1867.6633,17.993310
baseline,eval_loss,1909.1669,2.885020
baseline,perplexity,1909.1669,17.903926
baseline,eval_loss,1950.6705,2.881540
baseline,perplexity,1950.6705,17.841728
baseline,eval_loss,1992.1741,2.858680
baseline,perplexity,1992.1741,17.438493
baseline,grad_norm,4.1374,0.443900
baseline,grad_norm,8.2749,0.452900
baseline,grad_norm,12.4123,0.746800
baseline,grad_norm,16.5497,2.458900
baseline,grad_norm,20.6872,0.724100
baseline,grad_norm,24.8246,0.535300
baseline,grad_norm,28.9620,0.482900
baseline,grad_norm,33.0995,0.415600
