run,metric,step,value
bf16,grad_norm,16048,0.181641
bf16,grad_norm,16080,0.182617
bf16,grad_norm,16112,0.195312
bf16,grad_norm,16144,0.181641
bf16,grad_norm,16176,0.198242
bf16,grad_norm,16208,0.182617
bf16,grad_norm,16240,0.180664
bf16,grad_norm,16272,0.175781
bf16,grad_norm,16304,0.177734
bf16,grad_norm,16336,0.18457
bf16,grad_norm,16368,0.19043
bf16,grad_norm,16400,0.180664
bf16,grad_norm,16432,0.176758
bf16,grad_norm,16464,0.182617
bf16,grad_norm,16496,0.178711
bf16,grad_norm,16528,0.175781
bf16,grad_norm,16560,0.197266
bf16,grad_norm,16592,0.176758
bf16,grad_norm,16624,0.177734
bf16,grad_norm,16656,0.183594
bf16,grad_norm,16688,0.182617
bf16,grad_norm,16720,0.183594
bf16,grad_norm,16752,0.183594
bf16,grad_norm,16784,0.179688
bf16,grad_norm,16816,0.177734
bf16,grad_norm,16848,0.175781
bf16,grad_norm,16880,0.183594
bf16,grad_norm,16912,0.18457
bf16,grad_norm,16944,0.178711
bf16,grad_norm,16976,0.179688
bf16,grad_norm,17008,0.1875
bf16,grad_norm,17040,0.177734
bf16,grad_norm,17072,0.182617
bf16,grad_norm,17104,0.183594
bf16,grad_norm,17136,0.757812
bf16,grad_norm,17168,0.271484
bf16,grad_norm,17200,0.206055
bf16,grad_norm,17232,0.193359
bf16,grad_norm,17264,0.178711
bf16,grad_norm,17296,0.181641
bf16,grad_norm,17328,0.181641
bf16,grad_norm,17360,0.207031
bf16,grad_norm,17392,0.179688
bf16,grad_norm,17424,0.180664
bf16,grad_norm,17456,0.182617
bf16,grad_norm,17488,0.177734
bf16,grad_norm,17520,0.177734
bf16,grad_norm,17552,0.174805
bf16,grad_norm,17584,0.177734
bf16,grad_norm,17616,0.186523
bf16,grad_norm,17648,0.188477
bf16,grad_norm,17680,0.178711
bf16,grad_norm,17712,0.177734
bf16,grad_norm,17744,0.182617
bf16,grad_norm,17776,0.188477
bf16,grad_norm,17808,0.176758
bf16,grad_norm,17840,0.176758
bf16,grad_norm,17872,0.182617
bf16,grad_norm,17904,0.175781
bf16,grad_norm,17936,0.182617
bf16,grad_norm,17968,0.180664
bf16,grad_norm,18000,0.171875
bf16,grad_norm,18032,0.173828
bf16,grad_norm,18064,0.174805
bf16,grad_norm,18096,0.177734
bf16,grad_norm,18128,0.181641
bf16,grad_norm,18160,0.181641
bf16,grad_norm,18192,0.186523
bf16,grad_norm,18224,0.180664
bf16,grad_norm,18256,0.178711
bf16,grad_norm,18288,0.193359
bf16,grad_norm,18320,0.191406
bf16,grad_norm,18352,0.183594
bf16,grad_norm,18384,0.182617
bf16,grad_norm,18416,0.186523
bf16,grad_norm,18448,0.211914
bf16,grad_norm,18480,0.182617
bf16,grad_norm,18512,0.229492
bf16,grad_norm,18544,0.181641
bf16,grad_norm,18576,0.186523
bf16,grad_norm,18608,0.177734
bf16,grad_norm,18640,0.185547
bf16,grad_norm,18672,0.180664
bf16,grad_norm,18704,0.189453
bf16,grad_norm,18736,0.181641
bf16,grad_norm,18768,0.170898
bf16,grad_norm,18800,0.18457
bf16,grad_norm,18832,0.177734
bf16,grad_norm,18864,0.178711
bf16,grad_norm,18896,0.180664
bf16,grad_norm,18928,0.177734
bf16,grad_norm,18960,0.174805
bf16,grad_norm,18992,0.172852
bf16,grad_norm,19024,0.177734
bf16,grad_norm,19056,0.180664
bf16,grad_norm,19088,0.179688
bf16,grad_norm,19120,0.1875
bf16,grad_norm,19152,0.182617
bf16,grad_norm,19184,0.183594
bf16,grad_norm,19216,0.174805
bf16,grad_norm,19248,0.199219
bf16,grad_norm,19280,0.181641
bf16,grad_norm,19312,0.179688
bf16,grad_norm,19344,0.176758
bf16,grad_norm,19376,0.181641
bf16,grad_norm,19408,0.181641
bf16,grad_norm,19440,0.182617
bf16,grad_norm,19472,0.181641
bf16,grad_norm,19504,0.1875
bf16,grad_norm,19536,0.182617
bf16,grad_norm,19568,0.179688
bf16,grad_norm,19600,0.177734
bf16,grad_norm,19632,0.174805
bf16,grad_norm,19664,0.194336
bf16,grad_norm,19696,0.19043
bf16,grad_norm,19728,0.177734
bf16,grad_norm,19760,0.176758
bf16,grad_norm,19792,0.186523
bf16,grad_norm,19824,0.185547
bf16,grad_norm,19856,0.172852
bf16,grad_norm,19888,0.179688
bf16,grad_norm,19920,0.176758
bf16,grad_norm,19952,0.177734
bf16,grad_norm,19984,0.180664
bf16,grad_norm,20016,0.175781
bf16,grad_norm,20048,0.178711
bf16,grad_norm,20080,0.177734
bf16,grad_norm,20112,0.18457
bf16,grad_norm,20144,0.179688
bf16,grad_norm,20176,0.181641
bf16,grad_norm,20208,0.173828
bf16,grad_norm,20240,0.176758
bf16,grad_norm,20272,0.170898
bf16,grad_norm,20304,0.175781
bf16,grad_norm,20336,0.176758
bf16,grad_norm,20368,0.180664
bf16,grad_norm,20400,0.169922
bf16,grad_norm,20432,0.179688
bf16,grad_norm,20464,0.174805
bf16,grad_norm,20496,0.174805
bf16,grad_norm,20528,0.180664
bf16,grad_norm,20560,0.188477
bf16,grad_norm,20592,0.179688
bf16,grad_norm,20624,0.171875
bf16,grad_norm,20656,0.174805
bf16,grad_norm,20688,0.177734
bf16,grad_norm,20720,0.181641
bf16,grad_norm,20752,0.173828
bf16,grad_norm,20784,0.173828
bf16,grad_norm,20816,0.176758
bf16,grad_norm,20848,0.174805
bf16,grad_norm,20880,0.168945
bf16,grad_norm,20912,0.181641
bf16,grad_norm,20944,0.170898
bf16,grad_norm,20976,0.166992
bf16,grad_norm,21008,0.175781
bf16,grad_norm,21040,0.188477
bf16,grad_norm,21072,0.180664
bf16,grad_norm,21104,0.183594
bf16,grad_norm,21136,0.181641
bf16,grad_norm,21168,0.208984
bf16,grad_norm,21200,0.18457
bf16,grad_norm,21232,0.186523
bf16,grad_norm,21264,0.177734
bf16,grad_norm,21296,0.175781
bf16,grad_norm,21328,0.198242
bf16,grad_norm,21360,0.176758
bf16,grad_norm,21392,0.170898
bf16,grad_norm,21424,0.182617
bf16,grad_norm,21456,0.180664
bf16,grad_norm,21488,0.179688
bf16,grad_norm,21520,0.183594
bf16,grad_norm,21552,0.179688
bf16,grad_norm,21584,0.171875
bf16,grad_norm,21616,0.177734
bf16,grad_norm,21648,0.177734
bf16,grad_norm,21680,0.170898
bf16,grad_norm,21712,0.194336
bf16,grad_norm,21744,0.172852
bf16,grad_norm,21776,0.172852
bf16,grad_norm,21808,0.180664
bf16,grad_norm,21840,0.170898
